Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Đường_Từ_Địa_Chỉ,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Khoảng giá
60.0,3.0,5.5,Sổ hồng,Trống / Nhà thô,10.8523804305877,106.671781032801,Chưa xác định,Quận Gò Vấp,Phường 15,3278.6,1,0,1,0,0,1,Đường Lê Đức Thọ,40.38309034343928,52.9408894040139,6.676935277252485,0.0,8.0,9.07674271231227,5.9
32.0,2.0,6.0,Sổ hồng,Trống / Nhà thô,10.6928461538267,106.74058246812,Mặt tiền,Huyện Nhà Bè,Thị trấn Nhà Bè,51.9,0,0,0,0,0,0,Đường Huỳnh Tấn Phát,4.720616570327554,0.0,0.0,95.27938342967246,4.0,10.202913173751613,1.98
90.0,4.0,12.277777777777777,Sổ hồng,Trống / Nhà thô,10.7908495092333,106.692414369092,Mặt tiền,Quận 1,Phường Tân Định,69.9,0,1,0,0,1,1,Đường Thạch Thị Thanh,0.0,0.0,0.0,99.98569384835479,10.0,1.904348411572935,25.7
182.0,2.0,15.0,Sổ hồng,Cơ bản,10.6927113529124,106.741219845115,Mặt tiền,Huyện Nhà Bè,Thị trấn Nhà Bè,707.9,0,0,0,0,0,0,Đường Huỳnh Tấn Phát,13.446814521825118,0.0,0.0,86.55883599378443,5.0,10.246092916171383,19.8
112.0,1.0,6.8,Sổ hồng,Trống / Nhà thô,10.7513219432165,106.72867556842,Chưa xác định,Quận 7,Phường Tân Thuận Tây,979.3,0,0,0,0,0,1,Đường Huỳnh Tấn Phát,97.0295108751149,0.0,0.0,2.970489124885122,11.0,4.074799193663042,6.5
64.0,5.0,30.0,Sổ hồng,Cơ bản,10.7982786609842,106.688667315324,Mặt tiền,Quận Phú Nhuận,Phường 7,,0,0,0,0,0,0,Đường Phan Xích Long,,,,,9.0,2.8250862063537507,38.0
78.0,3.0,4.0,Sổ đỏ,Trống / Nhà thô,10.7979637701662,106.704708810862,Hẻm ô tô,Quận Bình Thạnh,Phường 17,11203.2,1,0,1,0,0,0,Đường Điện Biên Phủ,85.561000428449,12.784740074264494,1.6542594972864897,0.0,8.0,2.4738672812864215,14.0
40.0,2.0,8.0,Sổ hồng,Đầy đủ,10.764653867162,106.616330924929,Chưa xác định,Quận Bình Tân,Phường Bình Trị Đông,1912.0,0,0,0,0,0,0,Đường Ao Đôi,68.26464435146443,0.0,1.4843096234309623,30.252092050209207,5.0,9.34539809758362,5.44
62.0,3.0,11.2,Sổ hồng,Trống / Nhà thô,10.8054785461,106.681994055038,Chưa xác định,Quận Phú Nhuận,Phường 5,72.3,1,0,0,0,0,1,Đường Thích Quảng Đức,21.53526970954357,0.0,0.0,78.40940525587828,10.0,3.885823481311066,8.6
80.0,5.0,12.0,Sổ hồng,Đầy đủ,10.7310382071678,106.73211068743,Chưa xác định,Quận 7,Phường Phú Thuận,382.9,1,1,0,0,1,0,Đường Phú Thuận,17.92112823191434,0.0,0.0,82.08409506398539,9.0,6.039170830527929,21.8
